ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_190Os_190Os,Cell_191Ir_191Ir,Cell_193Ir_193Ir,Cell_7_Control_M_Cerebellum_240424_1,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10,neighbour_4_CellId11
65535,270,0.633333333,0.166666667,0.266666667,0.066666667,0.016666667,0.016666667,2.766666667,1.35,0.016666667,0.566666667,0.033333333,0.016666667,13.78333333,0.9,0.083333333,0.4,0.066666667,0.1,0.266666667,0,0.45,0.283333333,6.016666667,0.266666667,1.266666667,0.416666667,0.1,18.76666667,0.15,0.233333333,0.033333333,16.13333333,28.43333333,2599,578,0.657105184,0.869565217,0.606060606,10,28.747,10.82330668,8.158596641,-16.35490857,1108.25,9.65,0.771428571,29,260,318,520,0,0,0,0,0,0,0,0
65535,279,0.556390977,0.15037594,0.368421053,0.135338346,0.052631579,0.060150376,2.203007519,1.338345865,0.060150376,0.338345865,0.090225564,0.030075188,1.729323308,0.458646617,0.060150376,0.413533835,0.052631579,0.052631579,0.954887218,0.015037594,0.496240602,0.308270677,1.962406015,0.323308271,1.338345865,0.77443609,0.112781955,37.85714286,0.157894737,0.248120301,0.045112782,12.23308271,22.2406015,2686,1280,0.338407039,0.963768116,0.786982249,10,38.944,13.53440756,12.73587519,-27.861015,1388.93985,9.255639098,0.127659574,10,857,0,0,0,0,0,0,0,0,0,0
65535,289,2.266409266,0.223938224,0.517374517,0.104247104,0.038610039,0.061776062,5.864864865,3.027027027,0.123552124,0.501930502,0.077220077,0.196911197,16.65250965,0.644787645,0.254826255,0.49034749,0.1003861,0.077220077,1.208494208,0.030888031,0.683397683,0.328185328,3.231660232,0.362934363,2.459459459,0.799227799,0.138996139,22.22393822,0.138996139,0.243243243,0.042471042,19.46718147,35.78378378,2782,2494,0.5240333,0.744252874,0.518,10,83.232,21.78107028,18.55088909,49.16017213,68.89189189,12.73745174,0.930693069,67,19,48,655,693,953,1001,1309,0,0,0,0
65535,298,0.472868217,0.093023256,0.209302326,0.147286822,0.069767442,0.031007752,2.937984496,1.07751938,0.062015504,0.310077519,0.023255814,0.062015504,3.426356589,0.465116279,0.108527132,0.255813953,0.07751938,0.031007752,0.426356589,0.007751938,0.372093023,0.147286822,2.15503876,0.170542636,1.03875969,0.503875969,0.07751938,12.88372093,0.100775194,0.108527132,0.031007752,12.65116279,22.87596899,2869,1242,0.445475705,0.928057554,0.708791209,10,39.978,13.77722393,12.3346663,-55.38277952,528.4496124,10.68992248,0.375,19,501,1194,0,0,0,0,0,0,0,0,0
65535,308,0.323529412,0.049019608,0.245098039,0.058823529,0.029411765,0.058823529,1.882352941,0.656862745,0.078431373,0.588235294,0.039215686,0.019607843,1.81372549,0.303921569,0.078431373,0.274509804,0.049019608,0.019607843,0.245098039,0,0.333333333,0.343137255,6.725490196,0.117647059,0.764705882,0.31372549,0.049019608,10.20588235,0.049019608,0.117647059,0.009803922,12.43137255,21.1372549,2965,982,0.586535625,0.944444444,0.708333333,10,33.825,12.83218597,10.39308807,-37.60688237,889.9509804,9.117647059,0.431818182,10,674,0,0,0,0,0,0,0,0,0,0
65535,318,1.053097345,0.14159292,0.513274336,0.194690265,0.097345133,0.053097345,3.654867257,2.318584071,0.097345133,0.486725664,0.10619469,0.079646018,13.78761062,0.938053097,0.238938053,0.398230088,0.061946903,0.14159292,0.557522124,0.026548673,0.619469027,0.442477876,1.530973451,0.353982301,3.513274336,1.743362832,0.265486726,40.01769912,0.230088496,0.345132743,0.044247788,16.19469027,30.52212389,3062,1088,0.506513209,0.933884298,0.724358974,10,36.43,13.10471362,11.29930607,-81.78444757,1119.619469,9.814159292,0.688888889,29,106,270,530,0,0,0,0,0,0,0,0
65535,337,0.585714286,0.128571429,0.4,0.157142857,0.042857143,0.1,2.728571429,1.435714286,0.078571429,0.392857143,0.1,0.071428571,5.314285714,0.607142857,0.121428571,0.464285714,0.071428571,0.05,0.671428571,0.007142857,0.421428571,0.364285714,2.271428571,0.192857143,1.092857143,0.85,0.114285714,16.66428571,0.05,0.2,0,14.89285714,25.65,3244,1348,0.75411082,0.921052632,0.68627451,10,43.741,16.83224455,11.0545293,-10.75968737,15.42857143,10.45714286,0.481481481,19,597,1069,0,0,0,0,0,0,0,0,0
65535,347,0.881481481,0.118518519,0.237037037,0.17037037,0.037037037,0.066666667,2.533333333,1.562962963,0.103703704,0.362962963,0.037037037,0.051851852,6.303703704,0.407407407,0.133333333,0.540740741,0.096296296,0.066666667,0.6,0.022222222,0.392592593,0.377777778,2.422222222,0.2,0.755555556,0.748148148,0.148148148,13.88148148,0.059259259,0.155555556,0.007407407,13.43703704,25.0962963,3341,1300,0.861927963,0.918367347,0.645933014,10,45.767,19.17536828,9.722501465,-21.92783717,163.9037037,11.4962963,0.581818182,29,414,1011,1078,0,0,0,0,0,0,0,0
65535,356,0.697368421,0.144736842,0.171052632,0.171052632,0.039473684,0.118421053,4.236842105,1.105263158,0.118421053,0.434210526,0.026315789,0.039473684,3.25,0.342105263,0.078947368,0.447368421,0.026315789,0.026315789,0.355263158,0,0.421052632,0.381578947,3.118421053,0.263157895,0.394736842,0.513157895,0.039473684,15.21052632,0.065789474,0.157894737,0,12.82894737,24.42105263,3427,732,0.486117271,0.926829268,0.690909091,10,29.235,10.66668548,9.321548024,3.111100723,289.2368421,10.32894737,0.657894737,29,77,549,1126,0,0,0,0,0,0,0,0
65535,366,1.532467532,0.090909091,0.311688312,0.038961039,0.051948052,0.012987013,6.077922078,1.727272727,0.077922078,0.324675325,0.103896104,0.025974026,1.220779221,0.844155844,0.090909091,0.311688312,0.12987013,0.116883117,0.74025974,0.012987013,0.350649351,0.181818182,1.688311688,0.220779221,1.454545455,0.844155844,0.168831169,10.58441558,0.064935065,0.181818182,0,12.96103896,24.63636364,3524,741,0.839689954,0.916666667,0.592307692,10,32.047,13.70253192,7.441380481,24.91851328,323.6233766,12.46753247,0.75,19,135,703,0,0,0,0,0,0,0,0,0
