ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_3_Control_F_FrontalCrtx_240511_1_cellmas,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6
635192,48,0.045454545,0.242424242,0.128787879,0.060606061,0.037878788,0.03030303,1.212121212,2.295454545,0.053030303,1.295454545,0.022727273,0.022727273,0.712121212,0.287878788,0.083333333,0.272727273,0.083333333,0.121212121,0.386363636,0.015151515,0.984848485,0.878787879,0.348484848,0.340909091,0.098484848,0.734848485,0.151515152,4.325757576,0.340909091,0.159090909,4566,132,0.687703824,0.923076923,0.676923077,1,41.508,15.45286829,11.21864881,-23.46556747,58.11363636,35.71212121,0,0,0,0,0,0,0,0
635192,49,0.064516129,0.150537634,0.129032258,0.053763441,0.086021505,0.096774194,1.462365591,2.279569892,0.075268817,0.870967742,0.021505376,0.010752688,0.709677419,0.204301075,0.096774194,0.290322581,0.064516129,0.053763441,0.387096774,0.021505376,0.838709677,0.505376344,0.311827957,0.225806452,0.096774194,0.88172043,0.23655914,4.591397849,0.376344086,0.204301075,4661,93,0.791397153,0.911764706,0.738095238,1,34.445,14.13796325,8.642569957,-6.296454008,463.9139785,39.29032258,0.547619048,1,39,0,0,0,0,0
635192,50,0.081632653,0.204081633,0.071428571,0.040816327,0.051020408,0.030612245,1.397959184,2.540816327,0.051020408,1.418367347,0.030612245,0.06122449,0.87755102,0.255102041,0.06122449,0.265306122,0.102040816,0.142857143,0.387755102,0,0.918367347,1.040816327,0.306122449,0.346938776,0.142857143,0.653061224,0.112244898,4.897959184,0.520408163,0.112244898,4756,98,0.764246693,0.942307692,0.636363636,1,34.586,14.10625811,9.097464694,26.02822073,631.6734694,40.04081633,0,0,0,0,0,0,0,0
635192,51,0.072992701,0.160583942,0.109489051,0.065693431,0.072992701,0.02919708,1.496350365,1.890510949,0.02919708,1.532846715,0.03649635,0.00729927,1.058394161,0.328467153,0.175182482,0.401459854,0.058394161,0.109489051,0.255474453,0,1.04379562,0.883211679,0.328467153,0.255474453,0.02919708,0.664233577,0.094890511,4.678832117,0.306569343,0.131386861,4851,137,0.714538252,0.938356164,0.713541667,1,40.193,15.91145036,11.13159297,-10.45505711,435.5474453,40.45985401,0,0,0,0,0,0,0,0
635192,52,0.018867925,0.141509434,0.150943396,0.08490566,0.094339623,0.103773585,1.613207547,2.745283019,0.075471698,1.754716981,0.066037736,0.028301887,0.877358491,0.301886792,0.066037736,0.283018868,0.056603774,0.113207547,0.452830189,0.028301887,1.358490566,0.839622642,0.273584906,0.339622642,0.056603774,0.801886792,0.103773585,5.5,0.273584906,0.141509434,4946,106,0.664391829,0.929824561,0.688311688,1,35.537,13.6094061,10.17145832,83.03790958,228.9339623,43.54716981,0.25,1,59,0,0,0,0,0
635192,53,0.120879121,0.21978022,0.087912088,0.043956044,0.043956044,0.032967033,1.274725275,2.538461538,0.054945055,1.417582418,0.043956044,0.021978022,0.692307692,0.395604396,0.142857143,0.296703297,0.065934066,0.054945055,0.461538462,0.032967033,0.956043956,0.923076923,0.230769231,0.318681319,0.043956044,0.78021978,0.120879121,5.153846154,0.285714286,0.065934066,5041,91,0.640477274,0.947916667,0.7,1,32.411,12.41283858,9.532776062,-23.80954798,327.7692308,43.84615385,0.475,2,41,42,0,0,0,0
635192,54,0.193277311,0.31092437,0.117647059,0.067226891,0.058823529,0.117647059,1.478991597,2.630252101,0.033613445,1.554621849,0.025210084,0.016806723,1.403361345,0.344537815,0.100840336,0.352941176,0.058823529,0.092436975,0.403361345,0.008403361,0.899159664,0.932773109,0.428571429,0.386554622,0.117647059,0.588235294,0.142857143,5.226890756,0.327731092,0.050420168,5136,119,0.710316883,0.952,0.793333333,1,38.026,14.78830828,10.40922459,9.342891152,726.0084034,44.46218487,0,0,0,0,0,0,0,0
635192,55,0.097902098,0.237762238,0.160839161,0.097902098,0.076923077,0.055944056,1.181818182,1.811188811,0.076923077,1.104895105,0.034965035,0.055944056,1.167832168,0.286713287,0.090909091,0.223776224,0.020979021,0.034965035,0.517482517,0.020979021,0.79020979,0.517482517,0.356643357,0.314685315,0.13986014,0.587412587,0.097902098,3.783216783,0.223776224,0.034965035,5231,143,0.409659489,0.959731544,0.680952381,1,40.127,14.22025541,12.97226463,60.68034048,185.3566434,45.04895105,0,0,0,0,0,0,0,0
635192,56,0.133757962,0.261146497,0.108280255,0.076433121,0.044585987,0.070063694,1.452229299,3.159235669,0.076433121,1.777070064,0.050955414,0.031847134,1.006369427,0.356687898,0.127388535,0.324840764,0.01910828,0.050955414,0.388535032,0.012738854,1.140127389,0.904458599,0.375796178,0.401273885,0.031847134,0.72611465,0.121019108,5.72611465,0.312101911,0.178343949,5327,157,0.78734059,0.918128655,0.670940171,1,47.165,18.24761028,11.2499854,18.3958498,546.7070064,46.29299363,0,0,0,0,0,0,0,0
635192,57,0.081818182,0.118181818,0.054545455,0.036363636,0.072727273,0.027272727,1.5,2.418181818,0.072727273,0.809090909,0.045454545,0.009090909,1.490909091,0.218181818,0.072727273,0.236363636,0.009090909,0.072727273,0.227272727,0,0.663636364,0.727272727,1.272727273,0.272727273,0.1,0.645454545,0.118181818,4.5,0.372727273,0.1,5422,110,0.377083795,0.94017094,0.705128205,1,35.694,12.47545,11.55450164,-30.40951934,773.7636364,44.05454545,0.355555556,2,40,46,0,0,0,0
