ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10,Selection,Sel01
65535,40913,0.135135135,0.027027027,0.297297297,0.027027027,0.027027027,0.189189189,1.783783784,2.72972973,0.108108108,1.378378378,0.027027027,0.027027027,6.378378378,0.432432432,0.081081081,0.27027027,0,0.054054054,0.324324324,0,0.756756757,0.189189189,0.243243243,0.486486486,0.027027027,0.297297297,0.054054054,3.378378378,0.162162162,0.054054054,40913,693,0.905690051,0.840909091,0.528571429,19,23.694,11.2697586,4.777706889,-29.98883746,978.6486486,666.9459459,0.233333333,19,40819,0,0,0,0,0,0,0,0,0,0,1
65535,40931,0.294117647,0.147058824,0.058823529,0.014705882,0.102941176,0.044117647,1.191176471,2.705882353,0.073529412,NaN,0.044117647,0.029411765,4.308823529,0.382352941,0.088235294,0.205882353,0.044117647,0.088235294,0.294117647,0.029411765,0.617647059,0.294117647,0.573529412,0.647058824,0.117647059,0.441176471,0.147058824,4.338235294,0.25,0.102941176,40931,1273,0.784376328,0.871794872,0.566666667,19,31.65,12.79696475,7.937768328,-29.69798915,596.8382353,670.6617647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,40950,0.3125,0.0625,0.09375,0.0625,0.09375,0.03125,0.8125,1.75,0.0625,1.03125,0,0.03125,5.125,0.4375,0.125,0.3125,0.09375,0.125,0.3125,0,0.9375,0.21875,0.46875,0.5625,0.09375,0.375,0,5.03125,0.1875,0.09375,40950,599,0.871719276,0.842105263,0.592592593,19,22.28,9.675971607,4.741280431,-34.03854126,26607,667.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,40969,0.25,0.05,0.2,0,0,0.05,0.35,1.4,0.1,0.55,0.1,0,2.15,0.35,0.05,0.15,0,0,0.5,0,0.7,0.15,0.4,0.65,0,0.4,0.1,3.5,0.2,0.05,40969,374,0.948039282,0.833333333,0.357142857,19,18.658,9.700596032,3.086276607,-52.62280609,1402.2,671.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,40987,0.114285714,0.057142857,0.228571429,0.057142857,0.028571429,0.028571429,0.914285714,2.657142857,0.057142857,1.314285714,0.114285714,0.085714286,6.342857143,0.314285714,0.4,0.6,0.114285714,0.228571429,0.714285714,0,1.371428571,0.457142857,0.371428571,0.457142857,0.142857143,0.657142857,0.085714286,6.114285714,0.228571429,0.085714286,40987,655,0.838793809,0.729166667,0.5,19,25.191,10.32634409,5.622169924,19.75208251,1501.2,670.0285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,41006,0.553191489,0.127659574,0.234042553,0.042553191,0.042553191,0,1.510638298,2.276595745,0.063829787,0.808510638,0.042553191,0.127659574,9.787234043,0.425531915,0.255319149,0.361702128,0.063829787,0.170212766,0.957446809,0.021276596,0.85106383,0.382978723,0.829787234,0.382978723,0.404255319,0.787234043,0.063829787,8.255319149,0.212765957,0.127659574,41006,880,0.660874803,0.959183673,0.746031746,19,21.825,9.044244418,6.78767076,18.39545374,73.95744681,671.787234,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,41025,0.402597403,0.064935065,0.103896104,0.012987013,0.064935065,0.064935065,1.545454545,2.61038961,0.051948052,0.675324675,0.051948052,0.038961039,9.805194805,0.311688312,0.116883117,0.363636364,0.012987013,0.038961039,0.376623377,0,0.779220779,0.207792208,0.324675325,0.298701299,0.142857143,0.324675325,0.12987013,3.649350649,0.207792208,0.077922078,41025,1442,0.490418081,0.927710843,0.7,19,29.417,10.73052848,9.351519248,33.04880078,187.3766234,671.3766234,0.189189189,19,40557,0,0,0,0,0,0,0,0,0,0,1
65535,41044,0.529411765,0.176470588,0.088235294,0.058823529,0.088235294,0.029411765,1.323529412,2.117647059,0,0.705882353,0.058823529,0.088235294,7.735294118,0.235294118,0.117647059,0.441176471,0.088235294,0.117647059,0.441176471,0,0.558823529,0.205882353,0.529411765,0.382352941,0.058823529,0.647058824,0.176470588,5.470588235,0.147058824,0.294117647,41044,637,0.593207719,0.918918919,0.80952381,19,18.434,7.519942072,6.053925162,5.533825971,769.8235294,671.3235294,0.272727273,19,40875,0,0,0,0,0,0,0,0,0,0,1
65535,41062,0.15,0,0.1,0,0,0.2,1.5,1.75,0.1,0.4,0.05,0.1,8.05,0.25,0.05,0.45,0,0.05,0.3,0,0.6,0.4,0.45,0.2,0.4,0.75,0.1,4.8,0.25,0.05,41062,374,0.836896508,0.952380952,0.714285714,19,14.051,6.988231536,3.825086492,13.04279989,1178.8,672.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,41081,0.266666667,0.266666667,0.066666667,0.044444444,0.133333333,0.088888889,2.633333333,1.677777778,0.044444444,0.333333333,0.055555556,0.077777778,4.533333333,0.3,0.1,0.355555556,0.144444444,0.044444444,0.288888889,0.011111111,0.622222222,0.3,0.811111111,0.333333333,0.211111111,0.944444444,0.111111111,9.244444444,0.2,0.211111111,41081,1685,0.60111166,0.97826087,0.833333333,19,31.443,12.11802156,9.684299265,0.351948176,90.83333333,673.2777778,0,0,0,0,0,0,0,0,0,0,0,0,0,1
