ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_190Os_190Os,Cell_191Ir_191Ir,Cell_193Ir_193Ir,Cell_6_Control_M_Cerebellum_240424_1,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7
65535,53462,0.136842105,0.084210526,0.168421053,0.063157895,0.031578947,0.084210526,1.2,2.494736842,0.063157895,0.810526316,0.042105263,0.031578947,2.547368421,0.368421053,0.115789474,0.242105263,0.063157895,0.042105263,0.357894737,0.010526316,0.8,0.978947368,0.578947368,0.315789474,0.4,0.463157895,0.178947368,11.90526316,0.084210526,0.105263158,0.6,17.83157895,33.84210526,53462,2384,0.083660421,0.95959596,0.785123967,25,31.658,11.07232998,11.03351396,0,5396,1078.768421,0,0,0,0,0,0,0,0,0
65535,53487,0.340425532,0.159574468,0.276595745,0.031914894,0.053191489,0.095744681,1.106382979,1.712765957,0.042553191,0.510638298,0.063829787,0.010638298,2.393617021,0.414893617,0.063829787,0.425531915,0.042553191,0.063829787,0.680851064,0,0.585106383,0.5,2.010638298,0.361702128,0.79787234,0.638297872,0.138297872,21.12765957,0.095744681,0.170212766,0.617021277,19.63829787,35.09574468,53487,2359,0.676901579,0.94,0.723076923,25,32.973,12.88601624,9.485055555,-0.812836201,319.9361702,1078.723404,0.380952381,25,53613,0,0,0,0,0,0
65535,53512,0.199115044,0.150442478,0.491150442,0.044247788,0.030973451,0.053097345,1.336283186,1.800884956,0.057522124,0.292035398,0.053097345,0.048672566,1.89380531,0.407079646,0.172566372,0.415929204,0.061946903,0.048672566,0.482300885,0.004424779,0.460176991,0.522123894,3.575221239,0.252212389,0.451327434,0.703539823,0.146017699,26.2079646,0.150442478,0.269911504,0.5,18.20353982,32.09734513,53512,5673,0.743927154,0.937759336,0.627777778,25,53.897,20.95898894,14.00606903,52.81826808,353.6371681,1084.787611,0,0,0,0,0,0,0,0,0
65535,53537,0.222222222,0.188034188,0.102564103,0.042735043,0.05982906,0.076923077,1.641025641,2.846153846,0.051282051,1.598290598,0.042735043,0.017094017,6.222222222,0.333333333,0.11965812,0.282051282,0.042735043,0.102564103,0.88034188,0,1.145299145,1.196581197,0.829059829,0.333333333,0.58974359,0.444444444,0.136752137,11.90598291,0.111111111,0.170940171,0.641025641,18.29059829,34.55555556,53537,2937,0.405385568,0.936,0.642857143,25,36.943,12.88673033,11.78035038,85.61255351,123.7777778,1086.376068,0,0,0,0,0,0,0,0,0
65535,53562,0.161016949,0.254237288,0.186440678,0.042372881,0.033898305,0.042372881,1.220338983,2.542372881,0.093220339,0.93220339,0.042372881,0.033898305,4.449152542,0.330508475,0.076271186,0.313559322,0.059322034,0.101694915,0.415254237,0.008474576,0.822033898,1.194915254,0.686440678,0.322033898,0.491525424,0.423728814,0.084745763,11.51694915,0.110169492,0.220338983,0.669491525,17.97457627,31.10169492,53562,2962,0.576960381,0.929133858,0.702380952,25,37.199,13.77141884,11.24811115,-75.45689636,195.1694915,1082.491525,0,0,0,0,0,0,0,0,0
65535,53588,0.303278689,0.270491803,0.114754098,0.114754098,0.016393443,0.073770492,1.040983607,2.737704918,0.057377049,1.221311475,0.057377049,0.032786885,4.836065574,0.31147541,0.098360656,0.262295082,0.049180328,0.090163934,0.557377049,0.008196721,1.098360656,1.319672131,0.778688525,0.344262295,0.524590164,0.532786885,0.090163934,12.82786885,0.139344262,0.147540984,0.803278689,17.1147541,33.04918033,53588,3062,0.728000602,0.93129771,0.635416667,25,39.366,15.27588983,10.47279092,78.73778166,106.2377049,1085.918033,0,0,0,0,0,0,0,0,0
65535,53638,0.151079137,0.230215827,0.179856115,0.035971223,0.035971223,0.050359712,1.215827338,3.079136691,0.050359712,1.18705036,0.014388489,0.050359712,4.942446043,0.366906475,0.45323741,0.251798561,0.050359712,0.079136691,0.741007194,0.014388489,0.884892086,1.143884892,0.856115108,0.223021583,0.338129496,0.482014388,0.043165468,11.62589928,0.050359712,0.079136691,0.597122302,16.95683453,29.07913669,53638,3489,0.889385182,0.920529801,0.609649123,25,45.544,19.87670085,9.086804993,69.71666032,164.6402878,1084.323741,0.379310345,50,53437,53713,0,0,0,0,0
65535,53663,0.205882353,0.194117647,0.129411765,0.041176471,0.035294118,0.029411765,1.964705882,2.294117647,0.076470588,0.823529412,0.076470588,0.082352941,2.694117647,0.341176471,0.123529412,0.352941176,0.052941176,0.111764706,0.835294118,0.017647059,0.752941176,0.852941176,0.994117647,0.288235294,1.147058824,0.794117647,0.123529412,15.07058824,0.123529412,0.147058824,0.547058824,19.94117647,37.13529412,53663,4267,0.798795974,0.934065934,0.666666667,25,47.967,19.13849912,11.51375975,58.08713816,229.5352941,1090.882353,0,0,0,0,0,0,0,0,0
65535,53688,0.234042553,0.212765957,0.212765957,0.021276596,0,0.031914894,1.446808511,2.042553191,0.106382979,0.457446809,0.042553191,0.085106383,4.319148936,0.531914894,0.074468085,0.5,0.042553191,0.095744681,0.627659574,0.021276596,0.638297872,0.734042553,11.4787234,0.191489362,0.436170213,0.627659574,0.191489362,18.61702128,0.085106383,0.29787234,0.382978723,17.18085106,29.85106383,53688,2359,0.871961164,0.839285714,0.626666667,25,39.341,16.55228634,8.1035864,-16.45285513,250.9361702,1091.904255,0.5,25,53738,0,0,0,0,0,0
65535,53738,0.181818182,0.204545455,0.215909091,0.045454545,0.045454545,0.068181818,1.522727273,2.375,0.034090909,0.590909091,0.056818182,0.022727273,3.772727273,0.511363636,0.113636364,0.318181818,0.068181818,0.068181818,0.590909091,0.034090909,0.613636364,0.693181818,6.284090909,0.318181818,0.397727273,0.761363636,0.113636364,20.05681818,0.090909091,0.284090909,0.545454545,19.19318182,35.25,53738,2209,0.771835645,0.907216495,0.628571429,25,34.561,13.68081935,8.698567223,-16.66747104,250.875,1098.590909,0.88372093,50,53688,53964,0,0,0,0,0
