ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10,neighbour_4_CellId11,neighbour_4_CellId12,neighbour_4_CellId13
65535,13981,1.3,0.175,0.2,0.025,0,0.025,0.7,1.8,0.05,0.5,0,0.025,9.075,0.325,0.55,0.325,0.05,0.05,1.2,0,0.375,0.125,0.6,0.225,0.825,0.325,0.1,3.625,0.1,0.025,13981,587,0.677017562,0.930232558,0.555555556,15,22.024,8.674964167,6.384486147,-53.57395745,554.225,201.2,0.666666667,15,13820,0,0,0,0,0,0,0,0,0,0,0,0
65535,14025,2.590909091,0.045454545,0.5,0,0,0,1.409090909,4.272727273,0.090909091,1.318181818,0.090909091,0.090909091,6.409090909,0.590909091,0.5,0.772727273,0.136363636,0.227272727,7.954545455,0.045454545,0.772727273,0.318181818,0.545454545,0.772727273,1.727272727,0.909090909,0.090909091,5.954545455,0.272727273,0.227272727,14025,323,0.772022339,15,0.916666667,15,14.58,6.810092083,4.328463177,10.07351287,166.6818182,201.6363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,14040,2.15942029,0.115942029,0.275362319,0.144927536,0.057971014,0.028985507,1.014492754,2.898550725,0.072463768,1.652173913,0.057971014,0.014492754,3.507246377,0.362318841,0.130434783,0.31884058,0.043478261,0.115942029,2.753623188,0.028985507,0.724637681,0.434782609,0.405797101,0.449275362,0.898550725,0.376811594,0.057971014,6.594202899,0.202898551,0.15942029,14040,1012,0.497599639,0.884615385,0.575,15,30.542,10.50912606,9.115687665,5.418828459,582.0869565,203.3478261,0.435897436,44,13336,14055,14275,0,0,0,0,0,0,0,0,0,0
65535,14055,2.012658228,0.126582278,0.278481013,0.012658228,0.113924051,0.075949367,0.721518987,2.734177215,0.037974684,2.253164557,0.063291139,0.025316456,2.632911392,0.316455696,0.202531646,0.379746835,0.113924051,0.101265823,2.405063291,0,0.53164557,0.35443038,0.481012658,0.379746835,1.151898734,0.493670886,0.012658228,5.303797468,0.050632911,0.113924051,14055,1159,0.68306663,0.759615385,0.470238095,15,43.857,13.93396983,10.17675936,-64.55503075,591.2151899,200.556962,0.603773585,73,13072,13174,13336,14040,14598,0,0,0,0,0,0,0,0
65535,14069,1.818181818,0.272727273,0.272727273,0.045454545,0,0.090909091,1.681818182,3.409090909,0.045454545,1.454545455,0.090909091,0.090909091,3.545454545,0.5,0.454545455,0.5,0.136363636,0.136363636,0.954545455,0,0.909090909,0.636363636,0.772727273,0.545454545,0.818181818,0.909090909,0.136363636,8.909090909,0.363636364,0.272727273,14069,323,0.812329456,0.814814815,0.628571429,15,16.681,7.685778464,4.482336872,-2.091276073,1127.590909,202.7727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,14084,4.275862069,0.034482759,0.379310345,0.034482759,0.034482759,0,5.827586207,2.75862069,0.137931034,0.724137931,0.137931034,0,4.517241379,0.689655172,0.068965517,0.689655172,0.034482759,0.068965517,0.965517241,0.034482759,1.034482759,0.551724138,0.793103448,0.620689655,2.931034483,1.620689655,0.206896552,10.06896552,0.413793103,0.137931034,14084,425,0.954888234,0.935483871,0.402777778,15,21.751,11.67482805,3.467020197,37.60321887,1239.206897,202.4827586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,14099,1.636363636,0.181818182,0.409090909,0.181818182,0.045454545,0,0.909090909,3.272727273,0,0.590909091,0.045454545,0,4.363636364,0.545454545,0.590909091,0.409090909,0.045454545,0,1.136363636,0,0.636363636,0.136363636,2.227272727,0.454545455,1.045454545,0.636363636,0.045454545,4.909090909,0.045454545,0.045454545,14099,323,0.727140381,15,0.733333333,15,14.415,6.555581603,4.500333319,53.11009685,145.1818182,2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,14113,1.580952381,0.20952381,0.323809524,0.019047619,0.038095238,0.076190476,1.076190476,2.571428571,0.104761905,1.60952381,0.076190476,0.047619048,8.885714286,0.39047619,0.171428571,0.60952381,0.076190476,0.028571429,1.380952381,0,1.39047619,0.457142857,0.638095238,0.447619048,0.742857143,0.657142857,0.114285714,5.866666667,0.123809524,0.104761905,14113,1540,0.608554774,0.8203125,0.46875,15,42.658,13.76210477,10.92039348,-44.33014166,315.4095238,204.1142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,14128,2.777777778,0.166666667,0.25,0.055555556,0,0.083333333,1.25,4.277777778,0,1.638888889,0.083333333,0.027777778,4.833333333,0.527777778,0.138888889,0.361111111,0.055555556,0.166666667,2.416666667,0,0.638888889,0.416666667,0.5,0.388888889,1.805555556,0.694444444,0.111111111,6.388888889,0.111111111,0.083333333,14128,528,0.465991136,0.818181818,0.642857143,15,23.024,7.841187529,6.937799513,-81.94724973,495.9444444,202.0833333,0.5,15,14436,0,0,0,0,0,0,0,0,0,0,0,0
65535,14143,1.666666667,0.2,0.433333333,0.066666667,0,0.033333333,0.866666667,2.833333333,0,1.833333333,0.066666667,0.1,4.266666667,0.566666667,0.633333333,0.433333333,0.1,0.166666667,2.966666667,0,1.5,0.4,0.933333333,0.433333333,1.666666667,0.233333333,0.2,7.7,0.166666667,0.233333333,14143,440,0.852842185,0.882352941,0.666666667,15,19.195,8.937263851,4.666759924,-81.34808988,542.8,204.2,0.541666667,15,14495,0,0,0,0,0,0,0,0,0,0,0,0
65535,14172,0.861538462,0.107692308,0.369230769,0.076923077,0.046153846,0.076923077,1.246153846,2.723076923,0.030769231,1.861538462,0.046153846,0.046153846,1.538461538,0.384615385,0.076923077,0.338461538,0.076923077,0.061538462,2.4,0,0.861538462,0.4,0.692307692,0.369230769,0.538461538,0.584615385,0.184615385,8.138461538,0.169230769,0.261538462,14172,954,0.898872706,0.670103093,0.357142857,15,46.834,16.89555811,7.403799718,45.9042113,625.0153846,202.2615385,0.519230769,44,13571,14510,14700,0,0,0,0,0,0,0,0,0,0
65535,14201,2.830985915,0.169014085,0.690140845,0.14084507,0.098591549,0.084507042,1.633802817,2.887323944,0.070422535,1.070422535,0.112676056,0.098591549,6.042253521,0.633802817,1.845070423,0.774647887,0.098591549,0.154929577,0.957746479,0.028169014,1.549295775,0.492957746,3.704225352,0.408450704,1.38028169,1.887323944,0.23943662,11.09859155,0.464788732,0.197183099,14201,1042,0.721981707,0.825581395,0.645454545,15,35.504,12.2965721,8.508147562,28.43206105,973.056338,204.8591549,0.441860465,15,13497,0,0,0,0,0,0,0,0,0,0,0,0
